customerid,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
17631,2,3,528.33,1,3,3,133,Needs Attention
16794,2,10,1222.71,1,1,2,112,Hibernating
13599,2,21,5153.67,1,1,1,111,Hibernating
16523,2,21,9418.47,1,1,1,111,Hibernating
13536,2,7,3448.29,1,1,1,111,Hibernating
17522,2,5,1070.71,1,2,2,122,Hibernating
15237,2,4,1412.32,1,2,2,122,Hibernating
16833,2,4,1106.53,1,2,2,122,Hibernating
17491,2,10,3558.87,1,1,1,111,Hibernating
17644,2,11,2895.64,1,1,1,111,Hibernating
14291,2,11,3883.25,1,1,1,111,Hibernating
12621,2,20,13689.67,1,1,1,111,Hibernating
13318,2,3,640.76,1,3,3,133,Needs Attention
15159,2,30,18641.01,1,1,1,111,Hibernating
16891,2,5,809.7,1,2,3,123,Needs Attention
17677,2,30,16363.23,1,1,1,111,Hibernating
15453,2,7,1388.37,1,1,2,112,Hibernating
17856,2,4,1418.03,1,2,2,122,Hibernating
16358,2,4,2027.5,1,2,2,122,Hibernating
16161,2,19,5575.56,1,1,1,111,Hibernating
14646,2,73,280206.02,1,1,1,111,Hibernating
17949,2,45,58510.48,1,1,1,111,Hibernating
13408,2,62,28117.04,1,1,1,111,Hibernating
12358,2,2,1168.06,1,3,2,132,Needs Attention
16442,2,3,616.79,1,3,3,133,Needs Attention
14606,2,93,12156.65,1,1,1,111,Hibernating
13263,2,35,7454.07,1,1,1,111,Hibernating
13680,2,4,3722.42,1,2,1,121,Hibernating
12437,2,18,4951.41,1,1,1,111,Hibernating
16401,2,12,4098.32,1,1,1,111,Hibernating
17668,2,2,347.75,1,4,4,144,Needs Attention
17675,2,31,20374.28,1,1,1,111,Hibernating
15156,2,3,961.49,1,2,2,122,Hibernating
13471,2,4,2531.58,1,2,1,121,Hibernating
16210,2,18,21086.3,1,1,1,111,Hibernating
17528,2,8,3628.5,1,1,1,111,Hibernating
13468,2,37,5704.97,1,1,1,111,Hibernating
15484,2,4,3594.31,1,2,1,121,Hibernating
13924,2,6,1838.85,1,1,2,112,Hibernating
16322,2,2,326.75,1,4,4,144,Needs Attention
15189,2,41,16225.39,1,1,1,111,Hibernating
14653,2,7,1947.55,1,1,2,112,Hibernating
14569,2,1,227.39,1,5,5,155,Needs Attention
16688,2,4,1260.86,1,2,2,122,Hibernating
14796,2,17,8022.49,1,1,1,111,Hibernating
14251,2,5,2879.7,1,2,1,121,Hibernating
17673,2,6,1629.12,1,1,2,112,Hibernating
16933,2,2,563.23,1,3,3,133,Needs Attention
14217,2,17,2004.98,1,1,2,112,Hibernating
17243,2,26,8676.85,1,1,1,111,Hibernating
14415,2,13,5900.28,1,1,1,111,Hibernating
14702,2,17,3292.14,1,1,1,111,Hibernating
15520,2,1,343.5,1,4,4,144,Needs Attention
15443,2,7,3236.91,1,1,1,111,Hibernating
14621,2,5,1788.36,1,2,2,122,Hibernating
15187,2,16,4777.18,1,1,1,111,Hibernating
15399,2,3,815.77,1,2,3,123,Needs Attention
13013,2,13,4810.94,1,1,1,111,Hibernating
13314,2,3,775.94,1,3,3,133,Needs Attention
14135,2,15,4690.31,1,1,1,111,Hibernating
15898,2,5,1388.88,1,2,2,122,Hibernating
15208,2,5,870.12,1,2,3,123,Needs Attention
13798,2,57,37153.85,1,1,1,111,Hibernating
12955,2,11,4757.16,1,1,1,111,Hibernating
14191,2,13,4684.76,1,1,1,111,Hibernating
13098,2,28,28882.44,1,1,1,111,Hibernating
13394,2,8,2520.02,1,1,1,111,Hibernating
13521,2,3,1093.65,1,2,2,122,Hibernating
17451,2,7,1721.4,1,1,2,112,Hibernating
13269,2,15,5346.23,1,1,1,111,Hibernating
15877,2,2,493.28,1,3,3,133,Needs Attention
14730,2,8,2005.06,1,1,2,112,Hibernating
15796,2,8,2711.56,1,1,1,111,Hibernating
17841,2,124,40991.57,1,1,1,111,Hibernating
18219,3,10,2069.77,1,1,1,111,Hibernating
14132,3,11,3586.03,1,1,1,111,Hibernating
14395,3,9,3507.71,1,1,1,111,Hibernating
17091,3,9,3827.76,1,1,1,111,Hibernating
12783,3,6,2225.91,1,1,1,111,Hibernating
14141,3,4,915.13,1,2,3,123,Needs Attention
15984,3,10,2837.67,1,1,1,111,Hibernating
14910,3,4,434.35,1,2,4,124,Needs Attention
16817,3,9,1604.75,1,1,2,112,Hibernating
18273,3,3,204.0,1,2,5,125,Needs Attention
17835,3,3,350.64,1,2,4,124,Needs Attention
14708,3,3,1126.37,1,2,2,122,Hibernating
15498,3,27,13316.4,1,1,1,111,Hibernating
12950,3,3,1843.0,1,2,2,122,Hibernating
16426,3,10,1908.25,1,1,2,112,Hibernating
13769,3,10,2796.51,1,1,1,111,Hibernating
15568,3,3,758.29,1,2,3,123,Needs Attention
17434,3,7,2373.82,1,1,1,111,Hibernating
16525,3,26,13027.45,1,1,1,111,Hibernating
17449,3,7,2520.86,1,1,1,111,Hibernating
13534,3,25,5870.08,1,1,1,111,Hibernating
12720,3,25,5781.73,1,1,1,111,Hibernating
16779,3,22,10629.72,1,1,1,111,Hibernating
13089,3,97,58825.83,1,1,1,111,Hibernating
13668,3,21,6363.59,1,1,1,111,Hibernating
14204,3,1,161.03,1,5,5,155,Needs Attention
14794,3,7,1319.91,1,1,2,112,Hibernating
13743,3,7,1341.6,1,1,2,112,Hibernating
16672,3,20,8134.94,1,1,1,111,Hibernating
14904,3,2,1025.44,1,3,2,132,Needs Attention
17017,3,20,8694.26,1,1,1,111,Hibernating
13685,3,7,3119.44,1,1,1,111,Hibernating
12826,3,7,1474.72,1,1,2,112,Hibernating
13267,3,19,4521.49,1,1,1,111,Hibernating
17735,3,19,13110.02,1,1,1,111,Hibernating
13882,3,5,1191.13,1,2,2,122,Hibernating
14397,3,19,2612.96,1,1,1,111,Hibernating
16458,3,18,3482.74,1,1,1,111,Hibernating
12347,3,7,4310.0,1,1,1,111,Hibernating
14085,3,18,4448.54,1,1,1,111,Hibernating
14534,3,18,4447.05,1,1,1,111,Hibernating
12912,3,5,1662.3,1,2,2,122,Hibernating
17238,3,17,3744.65,1,1,1,111,Hibernating
13767,3,37,17220.36,1,1,1,111,Hibernating
12828,3,6,1018.71,1,1,2,112,Hibernating
17503,3,2,558.96,1,3,3,133,Needs Attention
18237,3,5,987.1,1,2,2,122,Hibernating
12935,3,7,2160.7,1,1,1,111,Hibernating
17042,3,5,1044.38,1,2,2,122,Hibernating
16368,3,2,497.43,1,3,3,133,Needs Attention
12583,3,15,7281.38,1,1,1,111,Hibernating
14189,3,15,4654.08,1,1,1,111,Hibernating
14087,3,1,194.42,1,5,5,155,Needs Attention
16271,3,5,1429.24,1,2,2,122,Hibernating
18272,3,6,3078.58,1,1,1,111,Hibernating
17602,3,6,5102.97,1,1,1,111,Hibernating
13756,3,14,5189.52,1,1,1,111,Hibernating
15471,3,1,469.48,1,5,4,154,Needs Attention
12839,3,14,5591.42,1,1,1,111,Hibernating
17232,3,2,421.52,1,3,4,134,Needs Attention
17590,3,3,1479.22,1,3,2,132,Needs Attention
15525,3,3,825.92,1,3,3,133,Needs Attention
15883,3,2,396.48,1,3,4,134,Needs Attention
17097,3,8,954.42,1,1,2,112,Hibernating
13870,3,8,2770.94,1,1,1,111,Hibernating
12569,3,32,4124.69,1,1,1,111,Hibernating
14769,3,8,10674.75,1,1,1,111,Hibernating
16191,3,13,5180.52,1,1,1,111,Hibernating
16393,3,13,3046.21,1,1,1,111,Hibernating
17266,3,3,310.64,1,3,4,134,Needs Attention
16000,3,3,12393.7,1,3,1,131,Needs Attention
16678,3,12,3109.99,1,1,1,111,Hibernating
17870,3,12,1894.35,1,1,2,112,Hibernating
17511,3,31,91062.38,1,1,1,111,Hibernating
15969,3,3,666.1,1,3,3,133,Needs Attention
12615,3,4,2291.19,1,2,1,121,Hibernating
14527,3,55,8508.82,1,1,1,111,Hibernating
12471,3,30,19824.05,1,1,1,111,Hibernating
15298,3,12,4799.9,1,1,1,111,Hibernating
15195,3,1,3861.0,1,5,1,151,Needs Attention
15701,3,4,1542.14,1,2,2,122,Hibernating
15750,3,8,2465.48,1,1,1,111,Hibernating
12747,3,11,4196.01,1,1,1,111,Hibernating
14032,3,11,2975.59,1,1,1,111,Hibernating
18092,3,11,9068.26,1,1,1,111,Hibernating
16539,3,4,1388.81,1,2,2,122,Hibernating
13949,3,6,2427.32,1,1,1,111,Hibernating
17049,3,9,5659.98,1,1,1,111,Hibernating
17412,3,7,1258.06,1,1,2,112,Hibernating
15136,3,4,1286.7,1,2,2,122,Hibernating
16569,4,1,124.2,1,4,5,145,Needs Attention
16764,4,13,2799.25,1,1,1,111,Hibernating
13994,4,6,2313.14,1,1,1,111,Hibernating
12820,4,4,942.34,1,2,2,122,Hibernating
17744,4,6,2322.4,1,1,1,111,Hibernating
18283,4,16,2094.88,1,1,1,111,Hibernating
16016,4,8,1508.76,1,1,2,112,Hibernating
12417,4,9,3649.1,1,1,1,111,Hibernating
12971,4,86,11189.91,1,1,1,111,Hibernating
13199,4,38,9817.12,1,1,1,111,Hibernating
13225,4,7,6463.84,1,1,1,111,Hibernating
16495,4,3,684.41,1,3,3,133,Needs Attention
14293,4,4,1046.56,1,2,2,122,Hibernating
13104,4,6,1098.48,1,1,2,112,Hibernating
16987,4,7,1625.05,1,1,2,112,Hibernating
13755,4,9,2161.35,1,1,1,111,Hibernating
12650,4,1,314.44,1,4,4,144,Needs Attention
18225,4,12,5509.12,1,1,1,111,Hibernating
12766,4,7,6989.63,1,1,1,111,Hibernating
12682,4,31,12288.22,1,1,1,111,Hibernating
14121,4,4,2780.15,1,2,1,121,Hibernating
15023,4,11,6802.76,1,1,1,111,Hibernating
14578,4,1,168.63,1,5,5,155,Needs Attention
14572,4,7,2832.84,1,1,1,111,Hibernating
16949,4,6,1286.27,1,1,2,112,Hibernating
14562,4,18,5074.77,1,1,1,111,Hibernating
17481,4,4,1255.59,1,2,2,122,Hibernating
14868,4,8,2953.59,1,1,1,111,Hibernating
13507,4,4,2479.16,1,2,1,121,Hibernating
16143,4,6,2424.94,1,1,1,111,Hibernating
16528,4,1,244.41,1,5,5,155,Needs Attention
12584,4,9,2338.15,1,1,1,111,Hibernating
13323,4,5,787.85,1,2,3,123,Needs Attention
17119,4,2,606.91,1,3,3,133,Needs Attention
16201,4,4,1863.47,1,2,2,122,Hibernating
14113,4,4,1840.42,1,2,2,122,Hibernating
12716,4,2,1053.49,1,3,2,132,Needs Attention
14216,4,4,1839.3,1,2,2,122,Hibernating
15318,4,1,312.62,1,4,4,144,Needs Attention
14907,4,7,3501.1,1,1,1,111,Hibernating
13881,4,20,17159.52,1,1,1,111,Hibernating
14110,4,12,5683.15,1,1,1,111,Hibernating
13694,4,50,65039.62,1,1,1,111,Hibernating
12877,4,12,1535.77,1,1,2,112,Hibernating
14825,4,12,2226.91,1,1,1,111,Hibernating
16929,4,7,1295.39,1,1,2,112,Hibernating
16313,4,2,274.15,1,4,4,144,Needs Attention
16620,4,2,178.96,1,4,5,145,Needs Attention
15907,4,3,967.45,1,2,2,122,Hibernating
16353,4,23,6675.71,1,1,1,111,Hibernating
15822,4,2,885.47,1,3,3,133,Needs Attention
12478,4,1,680.99,1,5,3,153,Needs Attention
16979,4,6,1852.0,1,1,2,112,Hibernating
17861,4,8,2100.8,1,1,1,111,Hibernating
13078,4,26,12627.94,1,1,1,111,Hibernating
12362,4,10,5226.23,1,1,1,111,Hibernating
15157,4,3,1936.07,1,2,2,122,Hibernating
14418,4,3,1937.25,1,2,2,122,Hibernating
17593,4,5,3927.34,1,2,1,121,Hibernating
17705,4,9,1823.52,1,1,2,112,Hibernating
17728,4,3,2876.01,1,2,1,121,Hibernating
17914,4,1,336.43,1,4,4,144,Needs Attention
16013,4,47,37130.6,1,1,1,111,Hibernating
14737,4,3,1164.55,1,3,2,132,Needs Attention
12749,4,5,4090.88,1,2,1,121,Hibernating
14503,4,6,3543.26,1,2,1,121,Hibernating
14547,4,8,4007.54,1,1,1,111,Hibernating
15992,4,1,41.99,1,5,5,155,Needs Attention
14071,4,8,1438.82,1,1,2,112,Hibernating
12723,4,5,725.07,1,2,3,123,Needs Attention
14282,4,15,3729.34,1,1,1,111,Hibernating
16133,4,33,14589.04,1,1,1,111,Hibernating
12989,4,15,6924.11,1,1,1,111,Hibernating
17884,4,4,717.45,1,2,3,123,Needs Attention
14673,4,5,1736.4,1,2,2,122,Hibernating
18005,4,2,249.72,1,4,5,145,Needs Attention
15194,4,15,7616.53,1,1,1,111,Hibernating
18154,4,2,399.19,1,3,4,134,Needs Attention
16015,4,3,705.39,1,2,3,123,Needs Attention
14735,4,32,6065.69,1,1,1,111,Hibernating
16711,4,5,1651.03,1,2,2,122,Hibernating
17730,4,13,5298.48,1,1,1,111,Hibernating
17883,4,4,671.77,1,2,3,123,Needs Attention
17346,4,15,2676.56,1,1,1,111,Hibernating
14871,4,4,522.38,1,2,3,123,Needs Attention
17250,4,2,384.52,1,3,4,134,Needs Attention
16790,4,6,1545.62,1,1,2,112,Hibernating
13709,4,13,6328.05,1,1,1,111,Hibernating
17666,4,2,728.16,1,3,3,133,Needs Attention
15061,4,48,54534.14,1,1,1,111,Hibernating
12442,4,1,172.06,1,5,5,155,Needs Attention
17290,4,2,525.24,1,3,3,133,Needs Attention
14140,4,2,935.05,1,3,3,133,Needs Attention
16076,4,10,2234.73,1,1,1,111,Hibernating
14083,5,9,1018.43,1,1,2,112,Hibernating
16360,5,6,3512.53,1,1,1,111,Hibernating
16600,5,6,813.52,1,1,3,113,Needs Attention
16500,5,6,400.86,1,1,4,114,Needs Attention
16873,5,6,7123.62,1,1,1,111,Hibernating
14629,5,2,959.01,1,3,2,132,Needs Attention
16684,5,28,66653.56,1,1,1,111,Hibernating
15856,5,27,16387.57,1,1,1,111,Hibernating
12841,5,25,4022.35,1,1,1,111,Hibernating
15274,5,2,716.57,1,3,3,133,Needs Attention
17857,5,23,26879.04,1,1,1,111,Hibernating
15358,5,22,8347.2,1,1,1,111,Hibernating
14194,5,21,11349.52,1,1,1,111,Hibernating
13417,5,2,640.83,1,3,3,133,Needs Attention
16200,5,2,1080.62,1,3,2,132,Needs Attention
14060,5,19,6140.42,1,1,1,111,Hibernating
16746,5,18,6697.66,1,1,1,111,Hibernating
13311,5,2,598.57,1,3,3,133,Needs Attention
15290,5,18,7943.22,1,1,1,111,Hibernating
14096,5,17,65164.79,1,1,1,111,Hibernating
17920,5,17,4204.1,1,1,1,111,Hibernating
17706,5,17,10504.49,1,1,1,111,Hibernating
12646,5,2,1346.97,1,3,2,132,Needs Attention
18198,5,17,5425.56,1,1,1,111,Hibernating
16592,5,16,4113.68,1,1,1,111,Hibernating
16811,5,2,547.07,1,3,3,133,Needs Attention
16904,5,16,3754.27,1,1,1,111,Hibernating
17404,5,15,31906.82,1,1,1,111,Hibernating
13985,5,15,7060.13,1,1,1,111,Hibernating
14759,5,3,1625.97,1,3,2,132,Needs Attention
15053,5,3,697.79,1,3,3,133,Needs Attention
12683,5,15,8476.57,1,1,1,111,Hibernating
15640,5,15,12515.66,1,1,1,111,Hibernating
16968,5,2,439.43,1,3,4,134,Needs Attention
18223,5,14,6484.54,1,1,1,111,Hibernating
13230,5,14,2806.97,1,1,1,111,Hibernating
13001,5,13,9818.82,1,1,1,111,Hibernating
17402,5,13,2633.85,1,1,1,111,Hibernating
14401,5,13,4051.48,1,1,1,111,Hibernating
15854,5,12,2974.65,1,1,1,111,Hibernating
17579,5,3,448.9,1,3,4,134,Needs Attention
13173,5,2,353.65,1,4,4,144,Needs Attention
13083,5,2,303.75,1,4,4,144,Needs Attention
12628,5,3,786.46,1,3,3,133,Needs Attention
16149,5,2,280.52,1,4,4,144,Needs Attention
17254,5,2,272.44,1,4,4,144,Needs Attention
12925,5,2,694.05,1,3,3,133,Needs Attention
14075,5,3,942.26,1,2,2,122,Hibernating
15690,5,2,239.76,1,4,5,145,Needs Attention
17817,5,3,387.68,1,2,4,124,Needs Attention
18030,5,2,230.65,1,4,5,145,Needs Attention
12994,5,3,974.42,1,2,2,122,Hibernating
15033,5,10,2586.67,1,1,1,111,Hibernating
18015,5,1,120.03,1,4,5,145,Needs Attention
18044,5,10,2088.6,1,1,1,111,Hibernating
13305,5,10,2000.86,1,1,2,112,Hibernating
17218,5,10,1960.72,1,1,2,112,Hibernating
16851,5,3,342.45,1,2,4,124,Needs Attention
13790,5,1,348.8,1,4,4,144,Needs Attention
17006,5,4,781.78,1,2,3,123,Needs Attention
16513,5,4,874.59,1,2,3,123,Needs Attention
15628,5,9,2870.24,1,1,1,111,Hibernating
15145,5,4,1194.73,1,2,2,122,Hibernating
13021,5,9,2616.38,1,1,1,111,Hibernating
17526,5,4,1195.9,1,2,2,122,Hibernating
15621,5,4,1293.03,1,2,2,122,Hibernating
17811,5,39,7837.73,1,1,1,111,Hibernating
15932,5,8,2495.87,1,1,1,111,Hibernating
15392,5,4,1535.53,1,2,2,122,Hibernating
16642,5,2,688.33,1,3,3,133,Needs Attention
13126,5,8,2099.64,1,1,1,111,Hibernating
14608,5,4,1785.15,1,2,2,122,Hibernating
16597,5,1,90.04,1,4,5,145,Needs Attention
14219,5,1,89.94,1,4,5,145,Needs Attention
16379,5,4,2157.4,1,2,1,121,Hibernating
15097,5,1,248.08,1,5,5,155,Needs Attention
15550,5,4,575.63,1,2,3,123,Needs Attention
16910,5,8,1510.06,1,1,2,112,Hibernating
15031,5,4,668.14,1,2,3,123,Needs Attention
17383,5,1,199.29,1,5,5,155,Needs Attention
14649,5,4,1417.29,1,2,2,122,Hibernating
12782,5,5,2330.92,1,2,1,121,Hibernating
14739,5,7,3902.28,1,1,1,111,Hibernating
15572,5,7,2552.86,1,1,1,111,Hibernating
12367,5,1,168.9,1,5,5,155,Needs Attention
13079,5,5,220.1,1,2,5,125,Needs Attention
12381,5,5,1845.31,1,2,2,122,Hibernating
17090,5,7,2043.95,1,1,2,112,Hibernating
14931,5,5,1257.68,1,2,2,122,Hibernating
16682,5,5,1028.0,1,2,2,122,Hibernating
14696,5,7,2078.95,1,1,1,111,Hibernating
12913,5,5,2483.63,1,2,1,121,Hibernating
18180,5,6,1843.75,1,1,2,112,Hibernating
17676,5,6,1387.68,1,1,2,112,Hibernating
17936,6,1,389.84,1,4,4,144,Needs Attention
13630,6,7,2031.78,1,1,2,112,Hibernating
14658,6,2,247.15,1,4,5,145,Needs Attention
17131,6,5,2463.17,1,2,1,121,Hibernating
12724,6,4,1031.41,1,2,2,122,Hibernating
17954,6,12,2332.72,1,1,1,111,Hibernating
13822,6,2,632.0,1,3,3,133,Needs Attention
17858,6,12,5155.66,1,1,1,111,Hibernating
14720,6,3,663.81,1,3,3,133,Needs Attention
17750,6,9,1797.57,1,1,2,112,Hibernating
14456,6,9,3062.4,1,1,1,111,Hibernating
13704,6,9,2308.06,1,1,1,111,Hibernating
18065,6,14,2392.83,1,1,1,111,Hibernating
17827,6,5,1995.46,1,2,2,122,Hibernating
17173,6,8,3766.6,1,1,1,111,Hibernating
13319,6,26,10845.55,1,1,1,111,Hibernating
14546,6,5,2578.09,1,2,1,121,Hibernating
14102,6,5,1360.28,1,2,2,122,Hibernating
17629,6,8,1814.12,1,1,2,112,Hibernating
16283,6,5,1570.81,1,2,2,122,Hibernating
13153,6,1,486.22,1,5,4,154,Needs Attention
12827,6,3,430.15,1,3,4,134,Needs Attention
16561,6,2,511.12,1,3,3,133,Needs Attention
16535,6,1,593.75,1,5,3,153,Needs Attention
15773,6,1,635.68,1,5,3,153,Needs Attention
17618,6,3,971.58,1,2,2,122,Hibernating
16438,6,5,798.35,1,2,3,123,Needs Attention
15867,6,15,3812.64,1,1,1,111,Hibernating
17114,6,8,808.62,1,1,3,113,Needs Attention
12952,6,4,1387.79,1,2,2,122,Hibernating
13558,6,4,605.06,1,2,3,123,Needs Attention
14583,6,5,1052.55,1,2,2,122,Hibernating
16988,6,1,126.12,1,4,5,145,Needs Attention
13736,6,2,731.9,1,3,3,133,Needs Attention
13596,6,2,697.04,1,3,3,133,Needs Attention
12719,6,2,644.95,1,3,3,133,Needs Attention
12673,6,2,610.52,1,3,3,133,Needs Attention
16905,6,7,3102.43,1,1,1,111,Hibernating
13435,6,7,3809.89,1,1,1,111,Hibernating
14354,6,2,163.62,1,4,5,145,Needs Attention
12490,6,10,5417.93,1,1,1,111,Hibernating
16931,6,21,4604.22,1,1,1,111,Hibernating
12560,6,3,2134.01,1,2,1,121,Hibernating
13956,6,5,1026.42,1,2,2,122,Hibernating
13838,6,4,691.73,1,2,3,123,Needs Attention
13808,6,5,1747.66,1,2,2,122,Hibernating
16033,6,20,8816.4,1,1,1,111,Hibernating
16326,6,14,3110.96,1,1,1,111,Hibernating
14428,8,5,1244.83,1,2,2,122,Hibernating
15769,8,26,56252.72,1,1,1,111,Hibernating
13309,8,5,1456.79,1,2,2,122,Hibernating
17221,8,2,335.13,1,4,4,144,Needs Attention
13780,8,2,360.01,1,4,4,144,Needs Attention
13495,8,5,2044.87,1,2,2,122,Hibernating
14865,8,2,52.2,1,4,5,145,Needs Attention
18174,8,1,104.0,1,4,5,145,Needs Attention
17942,8,1,77.5,1,5,5,155,Needs Attention
17686,8,7,5739.46,1,1,1,111,Hibernating
16333,8,22,26626.8,1,1,1,111,Hibernating
14560,8,22,2237.77,1,1,1,111,Hibernating
17386,8,6,2686.42,1,1,1,111,Hibernating
12695,8,4,582.1,1,2,3,123,Needs Attention
12856,8,6,2179.93,1,1,1,111,Hibernating
14594,8,2,379.83,1,3,4,134,Needs Attention
12364,8,4,1313.1,1,2,2,122,Hibernating
16989,8,6,1133.25,1,1,2,112,Hibernating
14688,8,21,5630.87,1,1,1,111,Hibernating
18245,8,7,2567.06,1,1,1,111,Hibernating
13017,8,1,204.0,1,5,5,155,Needs Attention
13953,8,7,3515.68,1,1,1,111,Hibernating
14250,8,3,1904.05,1,2,2,122,Hibernating
15547,8,14,4954.84,1,1,1,111,Hibernating
12700,8,4,4939.99,1,2,1,121,Hibernating
14092,8,14,4076.91,1,1,1,111,Hibernating
14895,8,20,11138.71,1,1,1,111,Hibernating
13458,8,14,9646.57,1,1,1,111,Hibernating
16359,8,9,1750.92,1,1,2,112,Hibernating
17567,8,8,4331.48,1,1,1,111,Hibernating
12587,8,1,144.0,1,5,5,155,Needs Attention
15078,8,32,9743.11,1,1,1,111,Hibernating
17611,8,15,3984.22,1,1,1,111,Hibernating
15271,8,15,2507.07,1,1,1,111,Hibernating
14493,8,5,2383.24,1,2,1,121,Hibernating
13868,8,2,3192.54,1,3,1,131,Needs Attention
14897,8,4,1366.38,1,2,2,122,Hibernating
16038,8,3,471.78,1,2,4,124,Needs Attention
17495,8,2,497.56,1,3,3,133,Needs Attention
16440,8,5,3640.67,1,2,1,121,Hibernating
15123,8,2,2199.31,1,3,1,131,Needs Attention
18055,8,10,6784.19,1,1,1,111,Hibernating
12762,8,2,1898.52,1,3,2,132,Needs Attention
13560,8,1,174.37,1,5,5,155,Needs Attention
16474,8,7,1871.5,1,1,2,112,Hibernating
14788,8,2,679.44,1,3,3,133,Needs Attention
16759,8,3,789.79,1,3,3,133,Needs Attention
14031,8,19,17286.86,1,1,1,111,Hibernating
13969,8,18,9053.94,1,1,1,111,Hibernating
12684,8,7,2283.63,1,1,1,111,Hibernating
17584,8,2,1242.3,1,3,2,132,Needs Attention
13183,8,9,3957.78,1,1,1,111,Hibernating
16103,8,6,1429.64,1,1,2,112,Hibernating
14023,8,2,584.07,1,3,3,133,Needs Attention
14292,8,9,4871.93,1,1,1,111,Hibernating
17086,8,6,2050.08,1,1,2,112,Hibernating
15539,8,1,538.46,1,5,3,153,Needs Attention
12558,8,1,269.96,1,4,4,144,Needs Attention
13705,8,3,711.86,1,3,3,133,Needs Attention
18282,8,2,178.05,1,4,5,145,Needs Attention
15570,8,12,4165.52,1,1,1,111,Hibernating
17183,8,6,3347.31,1,1,1,111,Hibernating
18144,8,12,2888.75,1,1,1,111,Hibernating
12704,8,8,2340.84,1,1,1,111,Hibernating
16899,8,6,1281.56,1,1,2,112,Hibernating
12962,8,2,266.39,1,4,4,144,Needs Attention
14126,8,3,706.13,1,2,3,123,Needs Attention
13884,8,5,787.6,1,2,3,123,Needs Attention
17157,8,2,319.0,1,4,4,144,Needs Attention
13297,8,4,2089.85,1,2,1,121,Hibernating
12970,8,4,452.24,1,2,4,124,Needs Attention
