customerid,recency,frequency,monetary,km_segment,CLTV_90d
13102,2,24,6424.09,Loyal High-Value,186.95713521621468
14056,2,23,8214.65,Loyal High-Value,857.4872382159892
18210,2,6,2621.38,Mass Regulars,198.29241387088857
14719,2,5,1602.13,Mass Regulars,246.62696305923967
14520,2,2,270.6,Mass Regulars,-21.446877265106743
17757,2,30,5605.29,Loyal High-Value,460.9427018499325
14698,2,5,1250.76,Mass Regulars,656.681577917456
14138,2,2,982.38,Mass Regulars,-256.30639030450607
17144,2,2,984.57,Mass Regulars,-601.7942445988674
17554,2,5,1952.45,Mass Regulars,82.61349839167454
17631,2,3,528.33,Mass Regulars,35.31372494450174
16794,2,10,1222.71,Mass Regulars,213.57073748195108
13599,2,21,5153.67,Loyal High-Value,167.17384243316883
16523,2,21,9418.47,Loyal High-Value,249.9110632848774
13536,2,7,3448.29,Mass Regulars,535.4313829422531
17522,2,5,1070.71,Mass Regulars,65.07440481116603
15237,2,4,1412.32,Mass Regulars,46.09785858831758
16833,2,4,1106.53,Mass Regulars,75.35057773193323
17491,2,10,3558.87,Mass Regulars,95.82702847663221
17644,2,11,2895.64,Mass Regulars,143.7842630730279
14291,2,11,3883.25,Mass Regulars,166.07509829874638
12621,2,20,13689.67,Loyal High-Value,323.4827378859252
13318,2,3,640.76,Mass Regulars,78.80844603227145
15159,2,30,18641.01,Loyal High-Value,417.3799975966067
16891,2,5,809.7,Mass Regulars,157.05044638082586
17677,2,30,16363.23,Loyal High-Value,190.11584378417578
15453,2,7,1388.37,Mass Regulars,327.46513975480747
17856,2,4,1418.03,Mass Regulars,17.366359517310254
16358,2,4,2027.5,Mass Regulars,118.18677568519969
16161,2,19,5575.56,Loyal High-Value,357.8033584283624
14646,2,73,280206.02,Elite,1224.4644382969107
17949,2,45,58510.48,Loyal High-Value,53.09700610712237
13408,2,62,28117.04,Loyal High-Value,261.0561714470589
12358,2,2,1168.06,Mass Regulars,-207.74465016535024
16442,2,3,616.79,Mass Regulars,194.617730785493
14606,2,93,12156.65,Loyal High-Value,1669.7906292935925
13263,2,35,7454.07,Loyal High-Value,961.0677204483151
13680,2,4,3722.42,Mass Regulars,146.35672107055296
12437,2,18,4951.41,Loyal High-Value,206.4187325030953
16401,2,12,4098.32,Mass Regulars,71.66274906507583
17668,2,2,347.75,Mass Regulars,-398.1118839437479
17675,2,31,20374.28,Loyal High-Value,580.1703916157421
15156,2,3,961.49,Mass Regulars,464.6660943875731
13471,2,4,2531.58,Mass Regulars,939.9874013194163
16210,2,18,21086.3,Loyal High-Value,104.0224977769046
17528,2,8,3628.5,Mass Regulars,511.64681334523704
13468,2,37,5704.97,Loyal High-Value,261.65933342849695
15484,2,4,3594.31,Mass Regulars,215.0346742541855
13924,2,6,1838.85,Mass Regulars,207.04647897564405
16322,2,2,326.75,Mass Regulars,-117.83203206144502
15189,2,41,16225.39,Loyal High-Value,230.8314771220272
14653,2,7,1947.55,Mass Regulars,241.63192100697663
14569,2,1,227.39,Mass Regulars,
16688,2,4,1260.86,Mass Regulars,246.83858613902143
14796,2,17,8022.49,Loyal High-Value,533.5210822844865
14251,2,5,2879.7,Mass Regulars,125.99220408085833
17673,2,6,1629.12,Mass Regulars,108.48643458804978
16933,2,2,563.23,Mass Regulars,-156.54494680903292
14217,2,17,2004.98,Mass Regulars,122.50487820862827
17243,2,26,8676.85,Loyal High-Value,389.7617897721072
14415,2,13,5900.28,Mass Regulars,378.82305196047156
14702,2,17,3292.14,Mass Regulars,310.6155184850016
15520,2,1,343.5,Mass Regulars,
15443,2,7,3236.91,Mass Regulars,322.2631644380923
14621,2,5,1788.36,Mass Regulars,83.22211174512054
15187,2,16,4777.18,Mass Regulars,101.21958147419615
15399,2,3,815.77,Mass Regulars,129.78988228073098
13013,2,13,4810.94,Mass Regulars,127.136735729486
13314,2,3,775.94,Mass Regulars,205.06105318397184
14135,2,15,4690.31,Mass Regulars,75.97324435370268
15898,2,5,1388.88,Mass Regulars,41.62105388846974
15208,2,5,870.12,Mass Regulars,72.18172423294673
13798,2,57,37153.85,Loyal High-Value,167.10380030917648
12955,2,11,4757.16,Mass Regulars,89.83961437748407
14191,2,13,4684.76,Mass Regulars,189.35678091830732
13098,2,28,28882.44,Loyal High-Value,407.5385716542223
13394,2,8,2520.02,Mass Regulars,75.0601669589145
13521,2,3,1093.65,Mass Regulars,3253.787799937029
17451,2,7,1721.4,Mass Regulars,185.50983519836788
13269,2,15,5346.23,Mass Regulars,195.36969835412907
15877,2,2,493.28,Mass Regulars,-725.2436431104122
14730,2,8,2005.06,Mass Regulars,436.49109679176337
15796,2,8,2711.56,Mass Regulars,155.0482129946746
17841,2,124,40991.57,Elite,4358.3854568405795
18219,3,10,2069.77,Mass Regulars,113.61619416832545
14132,3,11,3586.03,Mass Regulars,152.2470094528107
14395,3,9,3507.71,Mass Regulars,245.38093025749183
17091,3,9,3827.76,Mass Regulars,170.33418840344117
12783,3,6,2225.91,Mass Regulars,1237.0844538608592
14141,3,4,915.13,Mass Regulars,107.50103960192467
15984,3,10,2837.67,Mass Regulars,195.8269319414023
14910,3,4,434.35,Mass Regulars,64.48347286278972
16817,3,9,1604.75,Mass Regulars,80.03792109970829
18273,3,3,204.0,Mass Regulars,5.431088493846827
17835,3,3,350.64,Mass Regulars,380.78307261461447
14708,3,3,1126.37,Mass Regulars,36.91758482001997
15498,3,27,13316.4,Loyal High-Value,381.96807142834865
12950,3,3,1843.0,Mass Regulars,87.77144808997507
16426,3,10,1908.25,Mass Regulars,283.83635110501547
13769,3,10,2796.51,Mass Regulars,131.83505222670806
15568,3,3,758.29,Mass Regulars,232.03282779783476
17434,3,7,2373.82,Mass Regulars,279.1268270194963
16525,3,26,13027.45,Loyal High-Value,152.03387814016224
17449,3,7,2520.86,Mass Regulars,234.65918024929263
13534,3,25,5870.08,Loyal High-Value,202.501226564799
12720,3,25,5781.73,Loyal High-Value,211.19118278839238
16779,3,22,10629.72,Loyal High-Value,184.4371427839973
13089,3,97,58825.83,Elite,1127.265069742035
13668,3,21,6363.59,Loyal High-Value,332.0220212267831
14204,3,1,161.03,Mass Regulars,
14794,3,7,1319.91,Mass Regulars,77.1597056387652
13743,3,7,1341.6,Mass Regulars,16.274617773136026
16672,3,20,8134.94,Loyal High-Value,110.34117635433489
14904,3,2,1025.44,Mass Regulars,-322.31430955298276
17017,3,20,8694.26,Loyal High-Value,96.08921197466688
13685,3,7,3119.44,Mass Regulars,32.130456852899954
12826,3,7,1474.72,Mass Regulars,46.38379984326406
13267,3,19,4521.49,Loyal High-Value,175.09149802346923
17735,3,19,13110.02,Loyal High-Value,359.11857277848037
13882,3,5,1191.13,Mass Regulars,237.90293636531987
14397,3,19,2612.96,Loyal High-Value,62.90569327092177
16458,3,18,3482.74,Loyal High-Value,82.81776802836767
12347,3,7,4310.0,Mass Regulars,117.74704294047068
14085,3,18,4448.54,Loyal High-Value,260.3113352187606
14534,3,18,4447.05,Loyal High-Value,458.32449275818396
12912,3,5,1662.3,Mass Regulars,86.75048443790888
17238,3,17,3744.65,Mass Regulars,323.15372486706934
13767,3,37,17220.36,Loyal High-Value,308.57333529690504
12828,3,6,1018.71,Mass Regulars,99.97939707543625
17503,3,2,558.96,Mass Regulars,-130.60086650261314
18237,3,5,987.1,Mass Regulars,91.6010606072778
12935,3,7,2160.7,Mass Regulars,69.21513252861695
17042,3,5,1044.38,Mass Regulars,53.2135855667943
16368,3,2,497.43,Mass Regulars,-970.5583970394438
12583,3,15,7281.38,Loyal High-Value,176.385206446906
14189,3,15,4654.08,Mass Regulars,139.81232714082287
14087,3,1,194.42,Mass Regulars,
16271,3,5,1429.24,Mass Regulars,71.60526248307308
18272,3,6,3078.58,Mass Regulars,145.11482194412253
17602,3,6,5102.97,Mass Regulars,336.13079226275323
13756,3,14,5189.52,Mass Regulars,100.38973420225281
15471,3,1,469.48,Mass Regulars,
12839,3,14,5591.42,Mass Regulars,143.58824449314736
17232,3,2,421.52,Mass Regulars,-626.4782324648497
17590,3,3,1479.22,Mass Regulars,1467.5951407677003
15525,3,3,825.92,Mass Regulars,200.53428745037468
15883,3,2,396.48,Mass Regulars,-681.0502205116628
17097,3,8,954.42,Mass Regulars,126.26109078626652
13870,3,8,2770.94,Mass Regulars,115.89185951560721
12569,3,32,4124.69,Loyal High-Value,326.4518286162422
14769,3,8,10674.75,Mass Regulars,608.3048507727151
16191,3,13,5180.52,Mass Regulars,82.03919071613177
16393,3,13,3046.21,Mass Regulars,161.38760692586447
17266,3,3,310.64,Mass Regulars,199.94449494356306
16000,3,3,12393.7,Mass Regulars,
16678,3,12,3109.99,Mass Regulars,86.78088389142131
17870,3,12,1894.35,Mass Regulars,171.17020948708455
17511,3,31,91062.38,Loyal High-Value,504.60908249398443
15969,3,3,666.1,Mass Regulars,84.7528516425164
12615,3,4,2291.19,Mass Regulars,204.371927372068
14527,3,55,8508.82,Loyal High-Value,1155.147740529973
12471,3,30,19824.05,Loyal High-Value,446.1322478808929
15298,3,12,4799.9,Mass Regulars,111.10757099040022
15195,3,1,3861.0,Mass Regulars,
15701,3,4,1542.14,Mass Regulars,344.254544015294
15750,3,8,2465.48,Mass Regulars,203.68059695294147
12747,3,11,4196.01,Mass Regulars,113.09652991211584
14032,3,11,2975.59,Mass Regulars,81.04669279685928
18092,3,11,9068.26,Mass Regulars,79.95115307412006
16539,3,4,1388.81,Mass Regulars,53.240297527149735
13949,3,6,2427.32,Mass Regulars,170.54217752166304
17049,3,9,5659.98,Mass Regulars,350.7007701294974
17412,3,7,1258.06,Mass Regulars,42.261044457853366
15136,3,4,1286.7,Mass Regulars,190.4095192217278
16569,4,1,124.2,Mass Regulars,
16764,4,13,2799.25,Mass Regulars,874.8705410482912
13994,4,6,2313.14,Mass Regulars,361.47595446544017
12820,4,4,942.34,Mass Regulars,45.63604569965765
17744,4,6,2322.4,Mass Regulars,34.611724090488316
18283,4,16,2094.88,Mass Regulars,307.30807064937517
16016,4,8,1508.76,Mass Regulars,148.6486734460848
12417,4,9,3649.1,Mass Regulars,269.6040886727687
12971,4,86,11189.91,Loyal High-Value,157.9706947410037
13199,4,38,9817.12,Loyal High-Value,71.0466428569012
13225,4,7,6463.84,Mass Regulars,21.39564961718436
16495,4,3,684.41,Mass Regulars,-436.64289469075584
14293,4,4,1046.56,Mass Regulars,42.42869385497806
13104,4,6,1098.48,Mass Regulars,14.229779865963206
16987,4,7,1625.05,Mass Regulars,259.3444480449003
13755,4,9,2161.35,Mass Regulars,837.6513934193523
12650,4,1,314.44,Mass Regulars,
18225,4,12,5509.12,Mass Regulars,180.04405061356934
12766,4,7,6989.63,Mass Regulars,228.8338339222481
12682,4,31,12288.22,Loyal High-Value,447.0703792738107
14121,4,4,2780.15,Mass Regulars,615.6062316613477
15023,4,11,6802.76,Mass Regulars,531.5543051782797
14578,4,1,168.63,Mass Regulars,
14572,4,7,2832.84,Mass Regulars,225.8866946097333
16949,4,6,1286.27,Mass Regulars,136.18046340302973
14562,4,18,5074.77,Loyal High-Value,408.721506091236
17481,4,4,1255.59,Mass Regulars,194.6986315320277
14868,4,8,2953.59,Mass Regulars,146.2043525742384
13507,4,4,2479.16,Mass Regulars,245.87032648819894
16143,4,6,2424.94,Mass Regulars,139.60895231750803
16528,4,1,244.41,Mass Regulars,
12584,4,9,2338.15,Mass Regulars,204.06594463958493
13323,4,5,787.85,Mass Regulars,86.95020189496344
17119,4,2,606.91,Mass Regulars,-84.53284271198665
16201,4,4,1863.47,Mass Regulars,232.83650623975734
14113,4,4,1840.42,Mass Regulars,34.06916937965327
12716,4,2,1053.49,Mass Regulars,-281.22599726835875
14216,4,4,1839.3,Mass Regulars,425.40644064477266
15318,4,1,312.62,Mass Regulars,
14907,4,7,3501.1,Mass Regulars,153.84188124146579
13881,4,20,17159.52,Loyal High-Value,125.83113785174784
14110,4,12,5683.15,Mass Regulars,95.66296157971529
13694,4,50,65039.62,Loyal High-Value,202.8914834129335
12877,4,12,1535.77,Mass Regulars,71.3185847487639
14825,4,12,2226.91,Mass Regulars,77.78782785192145
16929,4,7,1295.39,Mass Regulars,88.11593040234881
16313,4,2,274.15,Mass Regulars,-101.30063042002878
16620,4,2,178.96,Mass Regulars,-17.853867723392632
15907,4,3,967.45,Mass Regulars,558.8341638563702
16353,4,23,6675.71,Loyal High-Value,67.61352839543227
15822,4,2,885.47,Mass Regulars,-71.85839626710867
12478,4,1,680.99,Mass Regulars,
16979,4,6,1852.0,Mass Regulars,98.95053463974692
17861,4,8,2100.8,Mass Regulars,171.35998698041158
13078,4,26,12627.94,Loyal High-Value,329.14515100114653
12362,4,10,5226.23,Mass Regulars,320.9584257208314
15157,4,3,1936.07,Mass Regulars,105.13067491880807
14418,4,3,1937.25,Mass Regulars,469.7594919135516
17593,4,5,3927.34,Mass Regulars,169.82514644489638
17705,4,9,1823.52,Mass Regulars,90.83465532050903
17728,4,3,2876.01,Mass Regulars,1080.342521838988
17914,4,1,336.43,Mass Regulars,
16013,4,47,37130.6,Loyal High-Value,89.2066295834822
14737,4,3,1164.55,Mass Regulars,26.04055181675751
12749,4,5,4090.88,Mass Regulars,550.9432734425986
14503,4,6,3543.26,Mass Regulars,185.8455894422931
14547,4,8,4007.54,Mass Regulars,985.9179513608149
15992,4,1,41.99,Mass Regulars,
14071,4,8,1438.82,Mass Regulars,301.39767278206796
12723,4,5,725.07,Mass Regulars,296.9865618604939
14282,4,15,3729.34,Mass Regulars,55.96257897860623
16133,4,33,14589.04,Loyal High-Value,285.42515229608966
12989,4,15,6924.11,Loyal High-Value,51.25555899172558
17884,4,4,717.45,Mass Regulars,73.13530456449448
14673,4,5,1736.4,Mass Regulars,51.828315928266996
18005,4,2,249.72,Mass Regulars,-731.43998686967
15194,4,15,7616.53,Loyal High-Value,176.28561352588918
18154,4,2,399.19,Mass Regulars,-202.18062525244858
16015,4,3,705.39,Mass Regulars,390.5491067436246
14735,4,32,6065.69,Loyal High-Value,175.48518853940766
16711,4,5,1651.03,Mass Regulars,26.10385800514245
17730,4,13,5298.48,Mass Regulars,115.02444857700148
17883,4,4,671.77,Mass Regulars,169.02943442636538
17346,4,15,2676.56,Mass Regulars,280.6492651463109
14871,4,4,522.38,Mass Regulars,94.20183951385249
17250,4,2,384.52,Mass Regulars,-189.769293862766
16790,4,6,1545.62,Mass Regulars,188.67996358722834
13709,4,13,6328.05,Mass Regulars,360.88392613896184
17666,4,2,728.16,Mass Regulars,-53.622504454860575
15061,4,48,54534.14,Loyal High-Value,209.85460651829771
12442,4,1,172.06,Mass Regulars,
17290,4,2,525.24,Mass Regulars,-1191.685628216172
14140,4,2,935.05,Mass Regulars,-409.954612618067
16076,4,10,2234.73,Mass Regulars,130.61771919424538
14083,5,9,1018.43,Mass Regulars,90.17081019441859
16360,5,6,3512.53,Mass Regulars,1463.272154957457
16600,5,6,813.52,Mass Regulars,28.06548745442688
16500,5,6,400.86,Mass Regulars,9.362308966186632
16873,5,6,7123.62,Mass Regulars,193.27604648169705
14629,5,2,959.01,Mass Regulars,-1448.0840232156454
16684,5,28,66653.56,Loyal High-Value,166.70491046245584
15856,5,27,16387.57,Loyal High-Value,258.3112080278489
12841,5,25,4022.35,Loyal High-Value,223.0199607752453
15274,5,2,716.57,Mass Regulars,-526.8097323457549
17857,5,23,26879.04,Loyal High-Value,135.69806597157532
15358,5,22,8347.2,Loyal High-Value,254.1950877036349
14194,5,21,11349.52,Loyal High-Value,541.7343661627172
13417,5,2,640.83,Mass Regulars,-301.81697393132674
16200,5,2,1080.62,Mass Regulars,-812.833560415634
14060,5,19,6140.42,Loyal High-Value,68.99446711949363
16746,5,18,6697.66,Loyal High-Value,310.3593829020871
13311,5,2,598.57,Mass Regulars,-21.67396753200158
15290,5,18,7943.22,Loyal High-Value,163.7442435240381
14096,5,17,65164.79,Loyal High-Value,3412.049190089094
17920,5,17,4204.1,Loyal High-Value,341.0858118567785
17706,5,17,10504.49,Loyal High-Value,396.69369164577796
12646,5,2,1346.97,Mass Regulars,-298.4444203290523
18198,5,17,5425.56,Loyal High-Value,94.60083486577064
16592,5,16,4113.68,Mass Regulars,138.8627711800491
16811,5,2,547.07,Mass Regulars,-433.6415877459182
16904,5,16,3754.27,Mass Regulars,467.6713658361638
17404,5,15,31906.82,Loyal High-Value,110.02917966657574
13985,5,15,7060.13,Loyal High-Value,265.68764999022363
14759,5,3,1625.97,Mass Regulars,293.7484031372498
15053,5,3,697.79,Mass Regulars,67.40607827477132
12683,5,15,8476.57,Loyal High-Value,207.77598377795795
15640,5,15,12515.66,Loyal High-Value,332.29826922122675
16968,5,2,439.43,Mass Regulars,-72.03343658166479
18223,5,14,6484.54,Mass Regulars,191.4279104376603
13230,5,14,2806.97,Mass Regulars,368.4088006287343
13001,5,13,9818.82,Loyal High-Value,210.20946704218645
17402,5,13,2633.85,Mass Regulars,61.6557573977738
14401,5,13,4051.48,Mass Regulars,62.85463667753525
15854,5,12,2974.65,Mass Regulars,96.58015719966242
17579,5,3,448.9,Mass Regulars,116.38467817469963
13173,5,2,353.65,Mass Regulars,-79.06652203639347
13083,5,2,303.75,Mass Regulars,-95.27095003011063
12628,5,3,786.46,Mass Regulars,243.94443376628445
16149,5,2,280.52,Mass Regulars,-29.133989348023146
17254,5,2,272.44,Mass Regulars,-838.8260147295994
12925,5,2,694.05,Mass Regulars,-228.63845095891944
14075,5,3,942.26,Mass Regulars,44.1186758904608
15690,5,2,239.76,Mass Regulars,-37.61858238380431
17817,5,3,387.68,Mass Regulars,-114.0932067036075
18030,5,2,230.65,Mass Regulars,-344.41026756352704
12994,5,3,974.42,Mass Regulars,150.09081975192896
15033,5,10,2586.67,Mass Regulars,261.62163955300576
18015,5,1,120.03,Mass Regulars,
18044,5,10,2088.6,Mass Regulars,144.81430092062374
13305,5,10,2000.86,Mass Regulars,71.37687450554712
17218,5,10,1960.72,Mass Regulars,180.33199171956298
16851,5,3,342.45,Mass Regulars,86.02111503253103
13790,5,1,348.8,Mass Regulars,
17006,5,4,781.78,Mass Regulars,172.5309782335345
16513,5,4,874.59,Mass Regulars,174.62945652322497
15628,5,9,2870.24,Mass Regulars,91.69358779009362
15145,5,4,1194.73,Mass Regulars,68.20909523469535
13021,5,9,2616.38,Mass Regulars,138.43168077268072
17526,5,4,1195.9,Mass Regulars,32.39301557706324
15621,5,4,1293.03,Mass Regulars,121.34862448333561
17811,5,39,7837.73,Loyal High-Value,557.7194119598244
15932,5,8,2495.87,Mass Regulars,49.77450924411496
15392,5,4,1535.53,Mass Regulars,69.4092916125525
16642,5,2,688.33,Mass Regulars,-81.32655290897253
13126,5,8,2099.64,Mass Regulars,79.2808796885632
14608,5,4,1785.15,Mass Regulars,35.305632529675826
16597,5,1,90.04,Mass Regulars,
14219,5,1,89.94,Mass Regulars,
16379,5,4,2157.4,Mass Regulars,243.202208478024
15097,5,1,248.08,Mass Regulars,
15550,5,4,575.63,Mass Regulars,78.54522175038505
16910,5,8,1510.06,Mass Regulars,999.2071360205601
15031,5,4,668.14,Mass Regulars,152.02088447546856
17383,5,1,199.29,Mass Regulars,
14649,5,4,1417.29,Mass Regulars,373.84471967175665
12782,5,5,2330.92,Mass Regulars,112.55220070374466
14739,5,7,3902.28,Mass Regulars,31.98030601239672
15572,5,7,2552.86,Mass Regulars,225.53630925673147
12367,5,1,168.9,Mass Regulars,
13079,5,5,220.1,Mass Regulars,15.900494165803687
12381,5,5,1845.31,Mass Regulars,149.59553534100772
17090,5,7,2043.95,Mass Regulars,52.17755655434754
14931,5,5,1257.68,Mass Regulars,218.30658492653617
16682,5,5,1028.0,Mass Regulars,21.4810624972163
14696,5,7,2078.95,Mass Regulars,82.38277720771555
12913,5,5,2483.63,Mass Regulars,47.82304148927364
18180,5,6,1843.75,Mass Regulars,140.55008084662273
17676,5,6,1387.68,Mass Regulars,36.894928678831896
17936,6,1,389.84,Mass Regulars,
13630,6,7,2031.78,Mass Regulars,41.239633526107184
14658,6,2,247.15,Mass Regulars,-258.74576203906315
17131,6,5,2463.17,Mass Regulars,465.45516693896667
12724,6,4,1031.41,Mass Regulars,79.0142825764738
17954,6,12,2332.72,Mass Regulars,233.49193655806502
13822,6,2,632.0,Mass Regulars,-44.829592444483744
17858,6,12,5155.66,Mass Regulars,277.23854894828145
14720,6,3,663.81,Mass Regulars,256.01651472367683
17750,6,9,1797.57,Mass Regulars,46.05108727705524
14456,6,9,3062.4,Mass Regulars,1052.65450639387
13704,6,9,2308.06,Mass Regulars,392.138941917114
18065,6,14,2392.83,Mass Regulars,161.4812038862933
17827,6,5,1995.46,Mass Regulars,153.58859870230492
17173,6,8,3766.6,Mass Regulars,192.57227571967118
13319,6,26,10845.55,Loyal High-Value,359.33335323978395
14546,6,5,2578.09,Mass Regulars,431.1886178538476
14102,6,5,1360.28,Mass Regulars,130.1941862004609
17629,6,8,1814.12,Mass Regulars,63.23389199296099
16283,6,5,1570.81,Mass Regulars,179.231040835042
13153,6,1,486.22,Mass Regulars,
12827,6,3,430.15,Mass Regulars,110.87912726115424
16561,6,2,511.12,Mass Regulars,-346.9352945781638
16535,6,1,593.75,Mass Regulars,
15773,6,1,635.68,Mass Regulars,
17618,6,3,971.58,Mass Regulars,129.77025368629256
16438,6,5,798.35,Mass Regulars,238.28025893194655
15867,6,15,3812.64,Mass Regulars,374.77840071296174
17114,6,8,808.62,Mass Regulars,168.006008636718
12952,6,4,1387.79,Mass Regulars,395.97783533210344
13558,6,4,605.06,Mass Regulars,415.5808455675269
14583,6,5,1052.55,Mass Regulars,307.13801827361465
16988,6,1,126.12,Mass Regulars,
13736,6,2,731.9,Mass Regulars,-452.5744026948027
13596,6,2,697.04,Mass Regulars,-418.12437006997044
12719,6,2,644.95,Mass Regulars,-464.2847585142807
12673,6,2,610.52,Mass Regulars,-103.63583387947187
16905,6,7,3102.43,Mass Regulars,223.8990375880053
13435,6,7,3809.89,Mass Regulars,128.95756546015957
14354,6,2,163.62,Mass Regulars,-36.602442211574086
12490,6,10,5417.93,Mass Regulars,167.5618939299884
16931,6,21,4604.22,Loyal High-Value,429.270410847486
12560,6,3,2134.01,Mass Regulars,175.46555282146352
13956,6,5,1026.42,Mass Regulars,214.5538051089658
13838,6,4,691.73,Mass Regulars,239.62802985221617
13808,6,5,1747.66,Mass Regulars,180.68685770318706
16033,6,20,8816.4,Loyal High-Value,911.0914814935
16326,6,14,3110.96,Mass Regulars,401.993021092018
14428,8,5,1244.83,Mass Regulars,191.09995181543914
15769,8,26,56252.72,Loyal High-Value,63.18189222856572
13309,8,5,1456.79,Mass Regulars,56.01509749185357
17221,8,2,335.13,Mass Regulars,-501.77455950577473
13780,8,2,360.01,Mass Regulars,-372.4690978915173
13495,8,5,2044.87,Mass Regulars,31.370892145937674
14865,8,2,52.2,Mass Regulars,-2.6395555413942255
18174,8,1,104.0,Mass Regulars,
17942,8,1,77.5,Mass Regulars,
17686,8,7,5739.46,Mass Regulars,327.51769358859565
16333,8,22,26626.8,Loyal High-Value,14.170893293313544
14560,8,22,2237.77,Loyal High-Value,66.77759474273815
17386,8,6,2686.42,Mass Regulars,26.56471481060649
12695,8,4,582.1,Mass Regulars,69.33396525897582
12856,8,6,2179.93,Mass Regulars,770.9928229500161
14594,8,2,379.83,Mass Regulars,-123.65954005686982
12364,8,4,1313.1,Mass Regulars,109.00814174983385
16989,8,6,1133.25,Mass Regulars,6.088839314801929
14688,8,21,5630.87,Loyal High-Value,159.17632327563447
18245,8,7,2567.06,Mass Regulars,149.60775607404275
13017,8,1,204.0,Mass Regulars,
13953,8,7,3515.68,Mass Regulars,14.082287776142008
14250,8,3,1904.05,Mass Regulars,-454.4273255104909
15547,8,14,4954.84,Mass Regulars,446.5376484703145
12700,8,4,4939.99,Mass Regulars,392.2542894337837
14092,8,14,4076.91,Mass Regulars,145.23493832485474
14895,8,20,11138.71,Loyal High-Value,505.0358443306354
13458,8,14,9646.57,Loyal High-Value,219.8088380796247
16359,8,9,1750.92,Mass Regulars,153.40513276902317
17567,8,8,4331.48,Mass Regulars,83.112909973285
12587,8,1,144.0,Mass Regulars,
15078,8,32,9743.11,Loyal High-Value,237.53763454100314
17611,8,15,3984.22,Mass Regulars,346.41615393489536
15271,8,15,2507.07,Mass Regulars,180.72429596008064
14493,8,5,2383.24,Mass Regulars,206.56301971227842
13868,8,2,3192.54,Mass Regulars,-18.525834394884967
14897,8,4,1366.38,Mass Regulars,133.57895582534852
16038,8,3,471.78,Mass Regulars,28.386152374765796
17495,8,2,497.56,Mass Regulars,-136.99838419130282
16440,8,5,3640.67,Mass Regulars,302.5430210463345
15123,8,2,2199.31,Mass Regulars,-405.46892251563736
18055,8,10,6784.19,Mass Regulars,358.3833252742397
12762,8,2,1898.52,Mass Regulars,-1029.1726625219499
