cohort_month,month_index,customers
01-08-2011,4,18
01-09-2011,0,189
01-09-2011,1,51
01-09-2011,2,71
01-09-2011,3,28
01-10-2011,0,221
01-10-2011,1,71
01-10-2011,2,35
01-11-2011,0,191
01-11-2011,1,27
01-12-2011,0,28
